,size,stages,before flow,before cost,before cost per batch,best actual flow,best actual cost,best actual cost per batch,chosen flow,chosen cost,chosen cost per batch
0,24,3,2,4,2,3,2,3,6,3,10
0,0,0,0,0,0,0,0,0,0,0,0
0,100,33,49,4111,83.89795918367346,50,4115,82.3,50,4153,83.06
0,100,33,39,4342,111.33333333333333,57,4918,86.28070175438596,57,4930,86.49122807017544
0,100,33,65,5336,82.0923076923077,66,5218,79.06060606060606,66,5342,80.93939393939394
0,100,33,48,4170,86.875,49,3950,80.61224489795919,49,4068,83.0204081632653
0,100,33,43,4053,94.25581395348837,51,4383,85.94117647058823,51,4409,86.45098039215686
0,100,33,43,4478,104.13953488372093,49,4436,90.53061224489795,49,4668,95.26530612244898
0,100,33,47,4345,92.44680851063829,51,4575,89.70588235294117,51,4623,90.6470588235294
0,100,33,59,4544,77.01694915254237,60,4536,75.6,60,4740,79.0
0,100,11,219,2239,10.223744292237443,235,2281,9.706382978723404,235,2331,9.919148936170213
0,100,11,211,2173,10.298578199052132,240,2281,9.504166666666666,240,2313,9.6375
0,100,11,240,2318,9.658333333333333,240,2098,8.741666666666667,240,2202,9.175
0,100,11,174,2098,12.057471264367816,222,2278,10.26126126126126,222,2278,10.26126126126126
0,100,11,232,2297,9.900862068965518,234,2157,9.217948717948717,234,2165,9.252136752136753
0,100,11,243,2385,9.814814814814815,252,2455,9.742063492063492,252,2501,9.924603174603174
0,100,11,215,2299,10.693023255813953,228,2289,10.039473684210526,228,2459,10.785087719298245
0,100,11,252,2429,9.63888888888889,256,2397,9.36328125,256,2453,9.58203125
0,300,3,2000,1261,0.6305,2000,1261,0.6305,2000,1261,0.6305
0,300,21,327,2819,8.62079510703364,329,2713,8.246200607902736,329,2813,8.55015197568389
0,300,21,316,2502,7.917721518987341,361,2766,7.662049861495845,362,2782,7.685082872928176
0,300,21,351,2865,8.162393162393162,372,2901,7.798387096774194,372,2907,7.814516129032258
0,300,21,336,2717,8.086309523809524,344,2693,7.828488372093023,344,2739,7.962209302325581
0,169,24,168,3586,21.345238095238095,172,3472,20.186046511627907,172,3618,21.03488372093023
0,169,24,172,3780,21.976744186046513,180,3778,20.988888888888887,180,3980,22.11111111111111
0,169,24,138,3034,21.985507246376812,168,3516,20.928571428571427,168,3556,21.166666666666668
0,169,24,140,3370,24.071428571428573,153,3528,23.058823529411764,157,3764,23.97452229299363
0,169,24,154,3295,21.396103896103895,163,3189,19.56441717791411,163,3245,19.9079754601227
0,169,24,141,3231,22.914893617021278,175,3501,20.005714285714287,175,3543,20.245714285714286
0,169,24,161,3414,21.204968944099377,165,3288,19.927272727272726,165,3342,20.254545454545454
0,169,24,139,3123,22.467625899280577,159,3243,20.39622641509434,159,3243,20.39622641509434
0,169,24,144,2953,20.506944444444443,151,2997,19.8476821192053,151,3017,19.980132450331126
0,169,24,155,3524,22.73548387096774,162,3562,21.987654320987655,162,3598,22.209876543209877
0,169,24,140,3174,22.67142857142857,148,3148,21.27027027027027,148,3220,21.756756756756758
0,300,21,324,2504,7.728395061728395,366,2722,7.437158469945355,367,2786,7.591280653950954
0,300,21,340,2544,7.482352941176471,383,2678,6.992167101827676,389,2774,7.131105398457583
0,300,21,285,2524,8.856140350877194,312,2590,8.301282051282051,312,2592,8.307692307692308
0,300,21,366,2715,7.418032786885246,379,2765,7.295514511873351,379,2841,7.496042216358839
0,300,21,356,2700,7.584269662921348,369,2798,7.582655826558265,369,2910,7.8861788617886175
0,300,21,309,2617,8.46925566343042,346,2647,7.6502890173410405,346,2709,7.829479768786127
0,100,11,209,2050,9.808612440191387,230,2094,9.104347826086956,230,2150,9.347826086956522
0,100,11,218,2155,9.885321100917432,240,2199,9.1625,240,2315,9.645833333333334
0,100,11,159,1954,12.28930817610063,202,2020,10.0,209,2130,10.191387559808613
0,100,11,219,2262,10.32876712328767,239,2234,9.347280334728033,239,2310,9.665271966527197
0,100,11,218,2302,10.559633027522937,219,2148,9.808219178082192,219,2262,10.32876712328767
0,100,11,241,2496,10.356846473029046,243,2372,9.761316872427983,243,2536,10.436213991769547
0,100,11,204,2078,10.186274509803921,215,2158,10.037209302325582,215,2182,10.148837209302325
0,100,11,224,2268,10.125,227,2158,9.506607929515418,227,2270,10.0
0,100,11,214,2149,10.042056074766355,226,2121,9.38495575221239,226,2171,9.606194690265486
